pVal,AverageB,AverageL,B1,L1,B2,L2,B3,L3,B4,L4,B5,L5,B6,L6,B7,L7,B8,L8,B9,L9,B10,L10
0.71,0.3100451299,5000,0.3100110368,5000,0.3099808448,5000,0.3100263936,5000,0.3100792704,5000,0.310089872,5000,0.3100350656,5000,0.3101546496,5000,0.3100300288,5000,0.3099836736,5000,0.310060464,5000
0.72,0.3111613504,5000,0.3111960704,5000,0.3111140576,5000,0.3113408384,5000,0.311086816,5000,0.3112197376,5000,0.3111473696,5000,0.3111658112,5000,0.3112578784,5000,0.3110302336,5000,0.3110546912,5000
0.73,0.3123017987,5000,0.312311376,5000,0.3121747712,5000,0.3122213504,5000,0.3123171392,5000,0.3125771776,5000,0.3120967584,5000,0.3123625152,5000,0.3123249184,5000,0.3123332128,5000,0.312298768,5000
0.74,0.3134707744,5000,0.3134565344,5000,0.3135342496,5000,0.31366912,5000,0.313384928,5000,0.3134204704,5000,0.3134096512,5000,0.313515056,5000,0.3134371136,5000,0.313482352,5000,0.3133982688,5000
0.75,0.3145297424,5000,0.3145003648,5000,0.3146024288,5000,0.3144524192,5000,0.314479008,5000,0.3145022496,5000,0.3146409152,5000,0.3144697056,5000,0.314586528,5000,0.314462672,5000,0.3146011328,5000
0.76,0.3157226163,5000,0.3157880032,5000,0.315844176,5000,0.3157167648,5000,0.315816272,5000,0.3156936544,5000,0.3157324704,5000,0.3158068448,5000,0.3155230912,5000,0.3155922112,5000,0.3157126752,5000
0.77,0.3167886394,5000,0.3167964224,5000,0.3168675872,5000,0.3168682368,5000,0.3166707776,5000,0.3168914912,5000,0.3167627072,5000,0.3165886304,5000,0.31674184,5000,0.316784064,5000,0.3169146368,5000
0.78,0.3178467635,5000,0.317949232,5000,0.3177004192,5000,0.3178681952,5000,0.3178057632,5000,0.3179047104,5000,0.31810424,5000,0.3177777024,5000,0.3178263808,5000,0.3177550848,5000,0.3177759072,5000
0.79,0.3189193584,5000,0.3190133152,5000,0.3189943648,5000,0.3188523616,5000,0.3189195072,5000,0.3189768032,5000,0.3188435008,5000,0.3189004192,5000,0.3189429696,5000,0.3188717568,5000,0.3188785856,5000
0.8,0.3199505597,5000,0.3199103456,5000,0.3201791584,5000,0.3197931936,5000,0.3198236,5000,0.3199311392,5000,0.3199177728,5000,0.320011424,5000,0.3200306048,5000,0.3199821536,5000,0.3199262048,5000
0.81,0.3209517446,5000,0.3209158656,5000,0.3209403264,5000,0.3209920544,5000,0.3208786944,5000,0.3210106624,5000,0.3209827744,5000,0.3209636896,5000,0.3208519488,5000,0.3210368128,5000,0.3209446176,5000
0.82,0.3219240314,5000,0.3219058784,5000,0.3220264704,5000,0.321959376,5000,0.3221083456,5000,0.321997888,5000,0.322061056,5000,0.321784576,5000,0.321839968,5000,0.321724944,5000,0.3218318112,5000
