pVal, biomass, longevity, fitness, top_pval, top_fitness, pVal_Two, biomass_Two, longevity_Two, top_Fitness_Two, top_Pval_Two
0.26, 0.15876739199999979, 5000.0, 793.836959999999, 1.0, 3885.4261120000110.25, 0.1130024512000001, 5000.0, 565.0122560000005, 1.0, 3880.3052800000137
0.49, 0.27705336960000043, 5000.0, 1385.2668480000023, 1.0, 3885.4261120000110.01, 0.002886825599999987, 5000.0, 14.434127999999935, 1.0, 3880.3052800000137
0.09, 0.021550953600000044, 5000.0, 107.75476800000023, 1.0, 3885.4261120000110.53, 0.27016008000000136, 5000.0, 1350.8004000000067, 1.0, 3880.3052800000137
0.42, 0.20704196800000021, 5000.0, 1035.2098400000011, 1.0, 3885.4261120000110.31, 0.08858010880000028, 5000.0, 442.9005440000014, 1.0, 3880.3052800000137
0.59, 0.07842882239999997, 5000.0, 392.14411199999984, 1.0, 3885.4261120000110.65, 0.2470267903999991, 5000.0, 1235.1339519999956, 1.0, 3880.3052800000137
0.55, 0.23850756159999978, 5000.0, 1192.537807999999, 1.0, 3885.4261120000110.37, 0.07221684800000004, 5000.0, 361.0842400000002, 1.0, 3880.3052800000137
0.13, 0.0107515104, 5000.0, 53.757552000000004, 1.0, 3885.4261120000110.79, 0.31093655999999964, 5000.0, 1554.6827999999982, 1.0, 3880.3052800000137
0.62, 0.28356010559999995, 5000.0, 1417.8005279999998, 1.0, 3885.4261120000110.12, 0.020837916800000092, 5000.0, 104.18958400000047, 1.0, 3880.3052800000137
0.25, 0.02241758080000002, 5000.0, 112.08790400000011, 1.0, 3885.4261120000110.77, 0.30010798400000155, 5000.0, 1500.5399200000077, 1.0, 3880.3052800000137
0.53, 0.25255007040000016, 5000.0, 1262.7503520000007, 1.0, 3885.4261120000110.21, 0.04700760639999994, 5000.0, 235.0380319999997, 1.0, 3880.3052800000137
0.66, 0.0, 0.0, 0.0, 0.0, 0.00.81, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.00.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.00.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.00.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.00.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.00.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.00.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.00.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.00.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.00.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.00.0, 0.0, 0.0, 0.0, 0.0, 0.0
